Model,Feature_Set,MAE,MSE,RMSE,R2,Tuning_Method,Experiment_Name,Best_Params,Best_CV_Score_Neg_RMSE
random_forest,selected_fe_features,3.0985852496275883,12.621015876479953,3.5526069127444924,-0.03313426334941094,Optuna,random_forest | selected_fe_features | Optuna,"{'n_estimators': 278, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': None}",-0.3879883310400446
random_forest,original_features,3.10329849777631,12.708200741516226,3.5648563423392288,-0.04027106376199319,Optuna,random_forest | original_features | Optuna,"{'n_estimators': 278, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': None}",-0.38569239332706495
xgboost,selected_fe_features,3.088274967149756,12.837842267529345,3.582993478577563,-0.050883292110953215,GridSearch,xgboost | selected_fe_features | GridSearch,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",-0.388894284137535
xgboost,original_features,3.0978321809878295,12.869455058103451,3.587402271575276,-0.053471059801116994,GridSearch,xgboost | original_features | GridSearch,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",-0.3867355960964075
random_forest,original_features,3.127137835403307,12.915645395713334,3.5938343584134946,-0.05725211996992474,GridSearch,random_forest | original_features | GridSearch,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-0.388438177433038
random_forest,selected_fe_features,3.133143264611386,13.022513012605403,3.608671918116886,-0.06600011598975764,GridSearch,random_forest | selected_fe_features | GridSearch,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-0.3917836218287923
xgboost,original_features,3.1542600380689247,13.030827542816722,3.6098237550906447,-0.06668072887615573,Optuna,xgboost | original_features | Optuna,"{'n_estimators': 337, 'max_depth': 3, 'learning_rate': 0.061721159481070736, 'subsample': 0.7511572371061874, 'colsample_bytree': 0.7195154778955838, 'reg_alpha': 5.5517216852447255, 'reg_lambda': 6.732248920775331}",-0.39165115022285285
random_forest,selected_fe_features,3.1297549836556287,13.11211070193143,3.6210648574599476,-0.07333442597443618,Baseline,random_forest | selected_fe_features | Baseline,,
random_forest,original_features,3.1597861156141915,13.128823103953094,3.6233717866033417,-0.07470247394461804,Baseline,random_forest | original_features | Baseline,,
lightgbm,original_features,3.1357797321463194,13.313711381362143,3.6487958810218672,-0.08983710463935535,GridSearch,lightgbm | original_features | GridSearch,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__subsample': 0.8}",-0.3944941922086298
lightgbm,original_features,3.148613322627895,13.342623440402514,3.6527555954926023,-0.09220379517448496,Optuna,lightgbm | original_features | Optuna,"{'n_estimators': 172, 'max_depth': 5, 'learning_rate': 0.024878734419814436, 'num_leaves': 60, 'subsample': 0.8295835055926347, 'colsample_bytree': 0.7873687420594125, 'min_child_samples': 33}",-0.39337895175573384
xgboost,selected_fe_features,3.1928731631136484,13.420319145997816,3.663375376070246,-0.09856382960841703,Optuna,xgboost | selected_fe_features | Optuna,"{'n_estimators': 337, 'max_depth': 3, 'learning_rate': 0.061721159481070736, 'subsample': 0.7511572371061874, 'colsample_bytree': 0.7195154778955838, 'reg_alpha': 5.5517216852447255, 'reg_lambda': 6.732248920775331}",-0.39555766680570525
lightgbm,selected_fe_features,3.1937077479974922,13.448115587916556,3.6671672429705953,-0.10083919767914185,GridSearch,lightgbm | selected_fe_features | GridSearch,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__subsample': 0.8}",-0.3957192566957545
lightgbm,selected_fe_features,3.168400616482973,13.520849408714989,3.67707076471408,-0.10679306091064378,Optuna,lightgbm | selected_fe_features | Optuna,"{'n_estimators': 172, 'max_depth': 5, 'learning_rate': 0.024878734419814436, 'num_leaves': 60, 'subsample': 0.8295835055926347, 'colsample_bytree': 0.7873687420594125, 'min_child_samples': 33}",-0.3961341397949407
lightgbm,selected_fe_features,3.3235455887750076,15.605163509133192,3.9503371386671784,-0.2774113640487692,Baseline,lightgbm | selected_fe_features | Baseline,,
lightgbm,original_features,3.332116576880155,15.673050596873258,3.9589203827398776,-0.28296848219755266,Baseline,lightgbm | original_features | Baseline,,
xgboost,original_features,3.3686707978961112,16.406503415303884,4.050494218648372,-0.34300764581852516,Baseline,xgboost | original_features | Baseline,,
xgboost,selected_fe_features,3.494234701792399,17.132054471777117,4.139088604001746,-0.4023999850397104,Baseline,xgboost | selected_fe_features | Baseline,,
